Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS
PRIVADO,00016618,SONRIE MAS,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LIMA,LIMA,SANTIAGO DE SURCO,150140,"AV. CAMINOS DEL INCA 2028 OF.201, URBANIZACION LAS GARDENIAS",23,00,00,LIMA SUR, ,NO PERTENECE A NINGUNA MICRORED,0, ,I-1,7197812,RESOLUCIÓN,,9:00 - 21:00 DE LUNE,11/03/2013,GILBERTO MARTIN AQUIJE GAVILAN ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
GOBIERNO REGIONAL,00007050,AMBATO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,CAJAMARCA,CUTERVO,SANTA CRUZ,060611,COMUNIDAD DE AMBATO,7,13,03,CAJAMARCA,CUTERVO,CHIPLE,787,REGION CAJAMARCA-SALUD CUTERVO,I-1,NO CUENTA CON TELEFONO,RESOLUCIÓN,0150 GR.CAJ/DRSC-DSRSC-RR.HH.DG,8:00 - 14:00,29/06/2006,IDELSO MENOR CHAVEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.85838013,-6.1335228,1724,
GOBIERNO REGIONAL,00000099,SANTA ISABEL DE YUMBATURO,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LORETO,LORETO,PARINARI,160302,ACTUALIZAR,24,08,01,LORETO,LORETO,NAUTA,870,SALUD LORETO,I-1,ACTUALIZAR,RESOLUCIÓN,,ACTUALIZAR,01/01/1900,JULIO TONY CAITIMARI MACHOA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.25813893,-4.58150907,124,
PRIVADO,00019555,DENTOCAPLINA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,TACNA,TACNA,TACNA,230101,AV.LEGUIA 1892,32,00,00,TACNA, ,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,52631048,RESOLUCIÓN,,9:30-20:00 LUNES-SAB,30/12/2014,BYANCA LISSETTE ARANDA LANCHIPA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
OTRO,00018792,MEDICO DE FAMILIA MANTARA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,JUNIN,TARMA,TARMA,120701,JR. ROSA ZAPATEL S/N - BARRIO MANTARA - TARMA,17,00,00,JUNIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-2,NO TIENE,RESOLUCIÓN,,24 HORAS,06/07/2014,LILIAN DENISE ADAUTO DE LA CRUZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
PRIVADO,00021749,ÓPTICA OCCHI BELLI,CENTROS OPTICOS,SERVICIO MÉDICO DE APOYO,JUNIN,HUANCAYO,HUANCAYO,120101,AVENIDA DANIEL ALCIDES CARRIÓN 1191 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ,17,00,00,JUNIN, ,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,064-232250,RESOLUCIÓN,,09:00 - 20:00,23/12/2015,NATHALIE CYNTHIA CHUQUILLANQUI RIVEROS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
MINSA,00007278,PUESTO DE SALUD HEROES DEL CENEPA,PUESTOS DE SALUD O POSTAS DE SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LIMA,LIMA,VILLA EL SALVADOR,150142,"JR. HEROES DEL CENEPA MZ C LT 20, ALT DE PANAM.SUR KM 24",23,03,03,LIMA SUR,VILLA EL SALVADOR - LURIN - PACHACAMAC - PUCUSANA,CESAR LOPEZ SILVA,1685,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR,I-2,7838778,RESOLUCIÓN,,08:00 - 14:00,01/02/2008,BASTIDAS CAMARENA HUBERT ALEX . . ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9306076,-12.2486993,,
PRIVADO,00016766,SERVIMEDIC FERNANDEZ,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LIMA,LIMA,ATE,150103,ASOC. SAN JUAN BAUTISTA MZ A LOTE 03,21,00,00,LIMA ESTE, ,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,7657634,RESOLUCIÓN,,8:00 - 20:00,19/07/2013,HUBERT FERNANDEZ DE LA CRUZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
PRIVADO,00016753,GIANCARLO YVAN ALFARO RAMOS,CENTRO ODONTOLOGICO,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,070103,JR. MARIANO MELGAR N° 553,8,00,00,CALLAO, ,NO PERTENECE A NINGUNA MICRORED,0, ,I-1,5555617,RESOLUCIÓN,Nº 1078-2013-GRC,10:00 - 22:00,15/07/2013,GIANCARLO YVAN ALFARO RAMOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
PRIVADO,00018773,CONSULTORIO ODONTOLOGICO ORALSAINE,CENTRO ODONTOLOGICO,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,LIMA,LIMA,LOS OLIVOS,150117,MZB / LTE1 / TDA 12- URB LOS PINARES,23,00,00,LIMA SUR, ,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,6648667,RESOLUCIÓN,,9:00- 1:00 PM / 4:00,07/05/2014,NANCY TORRES LOPEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,,,,
