departamento,n_districts,total_facilities,mean_score_v1,median_score_v1,min_score_v1,max_score_v1,mean_score_v2
CALLAO,7,66,0.3718,0.3323,0.1662,0.653,0.5958
UCAYALI,17,234,0.1358,0.1089,0.0457,0.4944,0.3884
TUMBES,13,54,0.0941,0.088,0.0363,0.2281,0.289
MADRE DE DIOS,11,64,0.101,0.0856,0.0354,0.1799,0.2555
PIURA,65,444,0.0963,0.078,0.0417,0.2488,0.2587
SAN MARTIN,77,384,0.0751,0.0699,0.0147,0.2454,0.3072
PASCO,29,249,0.0766,0.0654,0.0237,0.2087,0.2968
JUNIN,123,494,0.0733,0.0652,0.0073,0.3143,0.1886
LORETO,53,354,0.0779,0.0648,0.0242,0.2996,0.2346
CAJAMARCA,127,858,0.0755,0.0605,0.0123,0.396,0.2366
LAMBAYEQUE,38,181,0.0793,0.055,0.0163,0.3986,0.2285
AMAZONAS,84,409,0.0685,0.0543,0.0048,0.2846,0.1706
ICA,43,146,0.0661,0.0502,0.0134,0.3015,0.2173
TACNA,28,79,0.0641,0.0501,0.0218,0.2263,0.1965
APURIMAC,84,374,0.0545,0.0485,0.0084,0.1434,0.2142
LIMA,171,788,0.1165,0.0438,0.005,0.8922,0.2628
LA LIBERTAD,83,335,0.0634,0.0408,0.0101,0.4904,0.2309
AYACUCHO,119,385,0.0429,0.0373,0.0074,0.1831,0.166
HUANCAVELICA,100,328,0.0396,0.0334,0.0057,0.2272,0.1963
HUANUCO,84,270,0.0346,0.032,0.0017,0.1124,0.1464
ANCASH,166,420,0.0387,0.031,0.0028,0.3044,0.1516
AREQUIPA,109,231,0.059,0.0302,0.0029,0.4986,0.165
MOQUEGUA,20,59,0.0445,0.0296,0.005,0.2113,0.1721
PUNO,110,403,0.0395,0.0251,0.0001,0.3439,0.1565
CUSCO,112,341,0.0349,0.0248,0.0067,0.367,0.1397
