rank_v1,ubigeo,distrito,departamento,n_ipress,n_centros,total_atendidos,access_score_v1,access_score_v2,score_diff
1,150101,LIMA,LIMA,44,1,563485.0,0.8922,0.9645,0.0723
2,070101,CALLAO,CALLAO,37,7,297295.0,0.653,0.8901,0.2372
3,150132,SAN JUAN DE LURIGANCHO,LIMA,41,16,298207.0,0.6345,0.858,0.2236
4,150110,COMAS,LIMA,29,13,322359.0,0.5764,0.8242,0.2477
5,150143,VILLA MARIA DEL TRIUNFO,LIMA,28,6,249825.0,0.572,0.8588,0.2868
6,150133,SAN JUAN DE MIRAFLORES,LIMA,30,2,168258.0,0.5713,0.8912,0.3199
7,150142,VILLA EL SALVADOR,LIMA,20,1,216355.0,0.552,0.8714,0.3194
8,150122,MIRAFLORES,LIMA,7,1,357234.0,0.5446,0.7847,0.2402
9,150113,JESUS MARIA,LIMA,9,1,310331.0,0.5342,0.8058,0.2717
10,150108,CHORRILLOS,LIMA,26,3,123096.0,0.5103,0.8591,0.3488
11,070102,BELLAVISTA,CALLAO,9,1,262694.0,0.506,0.8016,0.2957
12,040101,AREQUIPA,AREQUIPA,6,1,296256.0,0.4986,0.7647,0.2661
13,250101,CALLERIA,UCAYALI,63,148,103079.0,0.4944,0.724,0.2296
14,150103,ATE,LIMA,23,11,241843.0,0.4931,0.7951,0.302
15,130101,TRUJILLO,LA LIBERTAD,23,11,237317.0,0.4904,0.7946,0.3042
16,150115,LA VICTORIA,LIMA,8,1,220843.0,0.4729,0.7858,0.3129
17,150131,SAN ISIDRO,LIMA,5,1,233488.0,0.4502,0.7404,0.2902
18,040112,PAUCARPATA,AREQUIPA,13,2,143117.0,0.445,0.8019,0.3569
19,040126,YANAHUARA,AREQUIPA,3,1,273684.0,0.4443,0.6928,0.2485
20,150135,SAN MARTIN DE PORRES,LIMA,17,8,162566.0,0.4166,0.7642,0.3476
21,150112,INDEPENDENCIA,LIMA,14,3,108531.0,0.4159,0.7866,0.3706
22,150128,RIMAC,LIMA,14,1,43990.0,0.4125,0.7986,0.3861
23,140101,CHICLAYO,LAMBAYEQUE,17,9,146533.0,0.3986,0.753,0.3545
24,060601,CUTERVO,CAJAMARCA,59,195,10281.0,0.396,0.6385,0.2425
25,130102,EL PORVENIR,LA LIBERTAD,14,1,15520.0,0.3957,0.7724,0.3767
26,130105,LA ESPERANZA,LA LIBERTAD,10,1,54247.0,0.3905,0.7721,0.3816
27,150136,SAN MIGUEL,LIMA,4,1,154656.0,0.3903,0.7074,0.3171
28,150140,SANTIAGO DE SURCO,LIMA,13,4,83798.0,0.3774,0.756,0.3785
29,150130,SAN BORJA,LIMA,7,3,158622.0,0.3731,0.7103,0.3372
30,150137,SANTA ANITA,LIMA,11,3,71742.0,0.3671,0.7471,0.38
31,080108,WANCHAQ,CUSCO,6,3,172664.0,0.367,0.6926,0.3256
32,150111,EL AGUSTINO,LIMA,11,3,53855.0,0.3566,0.7399,0.3833
33,210103,AMANTANI,PUNO,2,0,0.0,0.3439,0.4214,0.0775
34,150121,PUEBLO LIBRE,LIMA,2,1,138878.0,0.3425,0.6359,0.2934
35,211302,ANAPIA,PUNO,1,0,0.0,0.3386,0.3889,0.0503
36,070107,MI PERU,CALLAO,0,0,8818.0,0.3385,0.562,0.2235
37,150118,LURIGANCHO,LIMA,26,26,51009.0,0.3371,0.7064,0.3693
38,150141,SURQUILLO,LIMA,6,1,18054.0,0.334,0.6942,0.3603
39,070106,VENTANILLA,CALLAO,14,8,69570.0,0.3323,0.7148,0.3825
40,040109,MARIANO MELGAR,AREQUIPA,6,1,6003.0,0.3269,0.6665,0.3397
41,070103,CARMEN DE LA LEGUA REYNOSO,CALLAO,3,1,70233.0,0.3239,0.6585,0.3346
42,130103,FLORENCIA DE MORA,LA LIBERTAD,5,1,16659.0,0.3219,0.6739,0.352
43,150105,BREÑA,LIMA,3,1,56755.0,0.3159,0.6532,0.3372
44,120114,EL TAMBO,JUNIN,21,27,91188.0,0.3143,0.6844,0.3702
45,040110,MIRAFLORES,AREQUIPA,5,1,1441.0,0.3129,0.6123,0.2994
46,150117,LOS OLIVOS,LIMA,12,8,67169.0,0.3093,0.6914,0.3821
47,021801,CHIMBOTE,ANCASH,24,111,197552.0,0.3044,0.6255,0.3211
48,110101,ICA,ICA,10,29,266215.0,0.3015,0.5977,0.2963
49,160101,IQUITOS,LORETO,13,19,151917.0,0.2996,0.6528,0.3532
50,150116,LINCE,LIMA,3,1,12709.0,0.2899,0.6155,0.3256
51,150120,MAGDALENA DEL MAR,LIMA,3,1,5483.0,0.2856,0.5943,0.3087
52,010101,CHACHAPOYAS,AMAZONAS,28,49,22057.0,0.2846,0.6451,0.3605
53,150114,LA MOLINA,LIMA,8,10,143446.0,0.2846,0.6325,0.3478
54,070104,LA PERLA,CALLAO,3,1,0.0,0.2824,0.3776,0.0952
55,010205,IMAZA,AMAZONAS,39,148,0.0,0.2766,0.3659,0.0893
56,021803,COISHCO,ANCASH,2,1,15097.0,0.2693,0.5801,0.3108
57,060401,CHOTA,CAJAMARCA,34,120,15754.0,0.2638,0.6029,0.339
58,150134,SAN LUIS,LIMA,2,1,5155.0,0.2634,0.553,0.2896
59,150104,BARRANCO,LIMA,2,1,0.0,0.2604,0.3378,0.0775
60,040129,JOSE LUIS BUSTAMANTE Y RIVERO,AREQUIPA,7,4,0.0,0.259,0.3886,0.1296
61,040102,ALTO SELVA ALEGRE,AREQUIPA,7,4,0.0,0.259,0.3886,0.1296
62,150102,ANCON,LIMA,5,3,16396.0,0.2581,0.6098,0.3518
63,120699,MAZAMARI - PANGOA,JUNIN,42,355,0.0,0.2575,0.3367,0.0792
64,160201,YURIMAGUAS,LORETO,32,130,31375.0,0.2547,0.6077,0.353
65,200602,BELLAVISTA,PIURA,1,1,36503.0,0.2488,0.5419,0.2931
66,040107,JACOBO HUNTER,AREQUIPA,7,5,11526.0,0.2487,0.6069,0.3582
67,220901,TARAPOTO,SAN MARTIN,9,13,90206.0,0.2454,0.6162,0.3708
68,060101,CAJAMARCA,CAJAMARCA,28,200,90096.0,0.2429,0.5986,0.3556
69,200115,VEINTISEIS DE OCTUBRE,PIURA,7,7,45223.0,0.2412,0.6139,0.3727
70,010701,BAGUA GRANDE,AMAZONAS,31,136,19158.0,0.2382,0.5888,0.3506
