ubigeo,distrito,departamento,n_centros,access_score_v1,access_score_v2
010305,CUISPES,AMAZONAS,44,0.0066,0.0066
010110,LEIMEBAMBA,AMAZONAS,58,0.0048,0.0048
010510,LUYA VIEJO,AMAZONAS,1,0.1662,0.1662
010309,SAN CARLOS,AMAZONAS,32,0.0093,0.0093
020607,PARIAHUANCA,ANCASH,25,0.012,0.012
020604,ANTA,ANCASH,90,0.0028,0.0028
020511,LA PRIMAVERA,ANCASH,13,0.023,0.023
020608,SAN MIGUEL DE ACO,ANCASH,31,0.0096,0.0096
030405,COLCABAMBA,APURIMAC,41,0.0084,0.1996
040809,TAURIA,AREQUIPA,27,0.0111,0.0111
040808,SAYLA,AREQUIPA,23,0.0131,0.0131
040807,QUECHUALLA,AREQUIPA,45,0.0064,0.0064
040811,TORO,AREQUIPA,75,0.0036,0.0036
040607,SALAMANCA,AREQUIPA,75,0.0036,0.0036
040604,CHICHAS,AREQUIPA,34,0.0087,0.0087
040408,MACHAGUAY,AREQUIPA,55,0.0051,0.0051
040414,VIRACO,AREQUIPA,43,0.0068,0.0068
040602,ANDARAY,AREQUIPA,49,0.0058,0.0058
040410,PAMPACOLCA,AREQUIPA,88,0.0029,0.0796
040601,CHUQUIBAMBA,AREQUIPA,53,0.0057,0.166
040412,UÑON,AREQUIPA,11,0.027,0.027
040411,TIPAN,AREQUIPA,32,0.0093,0.0093
040605,IRAY,AREQUIPA,28,0.0107,0.0107
040407,HUANCARQUI,AREQUIPA,29,0.0103,0.0103
040118,SAN JUAN DE SIGUAS,AREQUIPA,26,0.0115,0.0115
040810,TOMEPAMPA,AREQUIPA,15,0.02,0.02
040803,CHARCANA,AREQUIPA,43,0.0068,0.0068
040201,CAMANA,AREQUIPA,8,0.0419,0.2666
040608,YANAQUIHUA,AREQUIPA,74,0.0036,0.0036
070105,LA PUNTA,CALLAO,1,0.1662,0.1662
070107,MI PERU,CALLAO,0,0.3385,0.562
090604,HUAYACUNDO ARMA,HUANCAVELICA,33,0.009,0.009
090504,EL CARMEN,HUANCAVELICA,48,0.006,0.0336
090509,SAN PEDRO DE CORIS,HUANCAVELICA,48,0.006,0.006
090505,LA MERCED,HUANCAVELICA,9,0.0326,0.05
090510,PACHAMARCA,HUANCAVELICA,50,0.0057,0.0057
090309,JULCAMARCA,HUANCAVELICA,24,0.0126,0.1202
101003,JIVIA,HUANUCO,117,0.002,0.101
101103,CHACABAMBA,HUANUCO,55,0.0051,0.0051
100316,QUIVILLA,HUANUCO,62,0.0045,0.0045
100301,LA UNION,HUANUCO,77,0.0053,0.2062
101004,QUEROPALCA,HUANUCO,133,0.0017,0.0017
151004,AYAVIRI,LIMA,45,0.0064,0.0064
151022,OMAS,LIMA,42,0.0069,0.0069
151029,TAURIPAMPA,LIMA,56,0.005,0.005
151027,SAN PEDRO DE PILAS,LIMA,15,0.02,0.02
150504,CERRO AZUL,LIMA,45,0.0064,0.0064
151010,COCHAS,LIMA,15,0.02,0.02
151026,SAN JOAQUIN,LIMA,27,0.0111,0.0111
180302,EL ALGARROBAL,MOQUEGUA,56,0.005,0.005
210404,KELLUYO,PUNO,235,0.0006,0.0006
210407,ZEPITA,PUNO,290,0.0003,0.0003
210405,PISACOMA,PUNO,349,0.0001,0.0001
210403,HUACULLANI,PUNO,155,0.0013,0.0013
210402,DESAGUADERO,PUNO,109,0.0048,0.2135
